t,x1_initial,x1,u
0.99,-24.0,-12.198906538328222,11.971732660296293
1.0,-24.0,-12.079218044164845,11.960794300756474
0.0,-23.0,-23.0,11.435038244844394
0.01,-23.0,-22.88561386530697,11.442188693761608
0.02,-23.0,-22.771156226124766,11.449339142678813
0.03,-23.0,-22.656627082453394,11.456489591596023
0.04,-23.0,-22.542026434292847,11.463640040513233
0.05,-23.0,-22.42735428164313,11.470790489430442
0.06,-23.0,-22.312610624504238,11.477940938347652
0.07,-23.0,-22.197795462876176,11.485091387264863
0.08,-23.0,-22.08290879675894,11.492241836182071
0.09,-23.0,-21.96797070834538,11.499392285099281
0.1,-23.0,-21.85309652487684,11.506542734016488
0.11,-23.0,-21.738296658132732,11.498814846325066
0.12,-23.0,-21.623561855280055,11.491086958633645
0.13,-23.0,-21.50888319240939,11.483359070942223
0.14,-23.0,-21.394252074534897,11.475631183250798
0.15,-23.0,-21.279660235594353,11.467903295559376
0.16,-23.0,-21.165099738449094,11.460175407867954
0.17,-23.0,-21.050562974884066,11.452447520176529
0.18,-23.0,-20.936042665607797,11.444719632485109
0.19,-23.0,-20.821531860252403,11.436991744793685
0.2,-23.0,-20.70702393737359,11.429263857102262
0.21,-23.0,-20.59251260445066,11.431600748339076
0.22,-23.0,-20.4779918978865,11.43393763957589
0.23,-23.0,-20.363456183007585,11.436274530812703
0.24,-23.0,-20.248900154063975,11.438611422049517
0.25,-23.0,-20.134318834229333,11.44094831328633
0.26,-23.0,-20.019707575600897,11.443285204523145
0.27,-23.0,-19.90506205919951,11.445622095759958
0.28,-23.0,-19.79037829496958,11.44795898699677
0.29,-23.0,-19.67565262177914,11.450295878233586
0.3,-23.0,-19.560881707419778,11.452632769470398
0.31,-23.0,-19.44606254860669,11.499149374881275
0.32,-23.0,-19.331192470978657,11.545665980292151
0.33,-23.0,-19.216269129098052,11.592182585703027
0.34,-23.0,-19.101290506450837,11.638699191113904
0.35000000000000003,-23.0,-18.98625491544656,11.68521579652478
0.36,-23.0,-18.871160997418357,11.731732401935655
0.37,-23.0,-18.75600772262296,11.778249007346531
0.38,-23.0,-18.64079439024069,11.824765612757407
0.39,-23.0,-18.52552062837545,11.871282218168284
0.4,-23.0,-18.41018639405474,11.91779882357916
0.41000000000000003,-23.0,-18.294791973229646,11.876078565810557
0.42,-23.0,-18.17933798077485,11.834358308041955
0.43,-23.0,-18.063825360488607,11.79263805027335
0.44,-23.0,-17.948255385092782,11.75091779250475
0.45,-23.0,-17.832629656232815,11.709197534736145
0.46,-23.0,-17.716950104477743,11.667477276967542
0.47000000000000003,-23.0,-17.601218989320188,11.62575701919894
0.48,-23.0,-17.485438899176362,11.584036761430337
0.49,-23.0,-17.36961275138607,11.542316503661734
0.5,-23.0,-17.253743792212706,11.500596245893131
0.51,-23.0,-17.13783559684325,11.49854708213345
0.52,-23.0,-17.021892069388272,11.49649791837377
0.53,-23.0,-16.905917442881933,11.494448754614089
0.54,-23.0,-16.789916279281982,11.492399590854408
0.55,-23.0,-16.673893469469768,11.490350427094727
0.56,-23.0,-16.557854233250207,11.488301263335046
0.5700000000000001,-23.0,-16.441804119351826,11.486252099575365
0.58,-23.0,-16.325749005426733,11.484202935815684
0.59,-23.0,-16.209695098050624,11.482153772056003
0.6,-23.0,-16.09364893272278,11.480104608296323
0.61,-23.0,-15.977617373866087,11.469482582355917
0.62,-23.0,-15.861607614827012,11.45886055641551
0.63,-23.0,-15.745627177875601,11.448238530475106
0.64,-23.0,-15.629683914205504,11.4376165045347
0.65,-23.0,-15.51378600393396,11.426994478594292
0.66,-23.0,-15.397941956101787,11.416372452653887
0.67,-23.0,-15.282160608673404,11.405750426713482
0.68,-23.0,-15.16645112853681,11.395128400773077
0.6900000000000001,-23.0,-15.050823011503596,11.38450637483267
0.7000000000000001,-23.0,-14.93528608230895,11.373884348892265
0.71,-23.0,-14.819850494611638,11.339777549331995
0.72,-23.0,-14.704526730994026,11.305670749771727
0.73,-23.0,-14.58932560296206,11.271563950211458
0.74,-23.0,-14.47425825094528,11.237457150651188
0.75,-23.0,-14.35933614429682,11.203350351090922
0.76,-23.0,-14.244571081293397,11.16924355153065
0.77,-23.0,-14.129975189135315,11.135136751970382
0.78,-23.0,-14.015560923946481,11.101029952410114
0.79,-23.0,-13.901341070774375,11.066923152849846
0.8,-23.0,-13.787328743590077,11.032816353289576
0.81,-23.0,-13.673537385288254,11.079164009554143
0.8200000000000001,-23.0,-13.55998076768716,11.125511665818708
0.8300000000000001,-23.0,-13.446672991528638,11.171859322083273
0.84,-23.0,-13.333628486478133,11.21820697834784
0.85,-23.0,-13.22086153169395,11.264554634612407
0.86,-23.0,-13.107863829693967,11.310902290876973
0.87,-23.0,-12.99426541408594,11.35724994714154
0.88,-23.0,-12.880186921404047,11.403597603406103
0.89,-23.0,-12.765735859767725,11.44994525967067
0.9,-23.0,-12.651006608881662,11.496292915935237
0.91,-23.0,-12.536080420035791,11.499186843962084
0.92,-23.0,-12.421025416105305,11.502080771988933
0.93,-23.0,-12.305896591550644,11.50497470001578
0.9400000000000001,-23.0,-12.1907358124175,11.507868628042628
0.9500000000000001,-23.0,-12.075571816336819,11.510762556069476
0.96,-23.0,-11.960420212524797,11.513656484096325
0.97,-23.0,-11.845283481782879,11.516550412123172
0.98,-23.0,-11.730150976497765,11.51944434015002
0.99,-23.0,-11.614998920641408,11.522338268176869
1.0,-23.0,-11.499790409771013,11.525232196203714
0.0,-22.0,-22.0,10.91922141615748
0.01,-22.0,-21.890744160596533,10.931946464535903
0.02,-22.0,-21.78136107070928,10.944671512914326
0.03,-22.0,-21.671850730338246,10.957396561292748
0.04,-22.0,-21.562213139483426,10.970121609671173
0.05,-22.0,-21.452448298144823,10.982846658049596
0.06,-22.0,-21.342556206322435,10.995571706428017
0.07,-22.0,-21.23253686401626,11.008296754806441
0.08,-22.0,-21.122390271226305,11.021021803184862
0.09,-22.0,-21.012116427952563,11.033746851563286
0.1,-22.0,-20.9017334247559,11.046471899941709
0.11,-22.0,-20.79130020388437,11.081783103591304
0.12,-22.0,-20.680826987746904,11.1170943072409
0.13,-22.0,-20.570319944223105,11.152405510890496
0.14,-22.0,-20.45978502929092,11.187716714540091
0.15,-22.0,-20.349227987026644,11.223027918189686
0.16,-22.0,-20.238654349604914,11.258339121839281
0.17,-22.0,-20.12806943729872,11.29365032548888
0.18,-22.0,-20.017478358479387,11.328961529138475
0.19,-22.0,-19.906886009616592,11.36427273278807
0.2,-22.0,-19.796297075278353,11.399583936437665
0.21,-22.0,-19.685716028131036,11.351150886078125
0.22,-22.0,-19.575147128939353,11.302717835718585
0.23,-22.0,-19.46459442656636,11.254284785359046
0.24,-22.0,-19.354061757973458,11.205851734999506
0.25,-22.0,-19.24355274822039,11.157418684639966
0.26,-22.0,-19.133070810465252,11.108985634280424
0.27,-22.0,-19.02261914596448,11.060552583920884
0.28,-22.0,-18.91220074407286,11.012119533561345
0.29,-22.0,-18.80181838224351,10.963686483201805
0.3,-22.0,-18.69147462602791,10.915253432842265
0.31,-22.0,-18.581171829075878,10.930178726475885
0.32,-22.0,-18.470912133135574,10.945104020109506
0.33,-22.0,-18.36069746805351,10.960029313743124
0.34,-22.0,-18.250529551774534,10.974954607376747
0.35000000000000003,-22.0,-18.140409890341854,10.989879901010367
0.36,-22.0,-18.03033977789701,11.004805194643987
0.37,-22.0,-17.920320296679886,11.019730488277608
0.38,-22.0,-17.810352317028727,11.034655781911226
0.39,-22.0,-17.700436497380107,11.049581075544848
0.4,-22.0,-17.59057328426895,11.064506369178469
0.41000000000000003,-22.0,-17.480762912328533,11.08578871671961
0.42,-22.0,-17.371005404290468,11.107071064260754
0.43,-22.0,-17.261300570984716,11.128353411801896
0.44,-22.0,-17.15164801133958,11.14963575934304
0.45,-22.0,-17.04204711238172,11.17091810688418
0.46,-22.0,-16.93249704923613,11.192200454425324
0.47000000000000003,-22.0,-16.82299678512615,11.213482801966466
0.48,-22.0,-16.713545071373467,11.23476514950761
